Pipe_Size_mm,Thickness_mm,Material,Grade,Max_Pressure_psi,Temperature_C,Corrosion_Impact_Percent,Thickness_Loss_mm,Material_Loss_Percent,Time_Years,Condition,Failure_Risk,Inspection_Cost,Repair_Cost,Downtime,Recommended_Action
400,9.44,Stainless Steel,ASTM A106 Grade B,1500,31.7,3.39,0.99,10.49,4,Normal,0.9905051420006733,1106,5514,8,Immediate Repair
500,20.01,Fiberglass,ASTM A106 Grade B,300,5.6,2.64,4.99,24.94,23,Moderate,0.4126176769114265,665,5448,2,Schedule Inspection
250,14.24,Stainless Steel,API 5L X52,2500,136.6,4.53,1.1,7.72,18,Normal,0.37201808579278317,510,11019,7,Monitor
50,5.1,Fiberglass,ASTM A333 Grade 6,600,80.2,10.57,6.93,135.88,18,Critical,0.7764129607419968,1824,18794,3,Immediate Repair
100,5.95,Stainless Steel,ASTM A106 Grade B,150,69.3,18.23,5.37,90.25,5,Critical,0.34080354025301784,1228,10343,8,Monitor
50,4.43,HDPE,ASTM A106 Grade B,600,16.1,16.91,4.09,92.33,16,Moderate,0.9307573256035647,1300,15047,7,Immediate Repair
100,5.33,Stainless Steel,ASTM A333 Grade 6,1500,50.9,16.47,2.04,38.27,16,Moderate,0.8584127518430118,601,18161,8,Immediate Repair
600,24.6,PVC,API 5L X42,2500,2.7,1.98,7.53,30.61,6,Critical,0.42899402737501835,1948,13033,7,Schedule Inspection
250,13.65,Fiberglass,ASTM A333 Grade 6,300,45.9,12.65,7.65,56.04,9,Critical,0.7508710677914974,1915,16754,6,Immediate Repair
1200,24.59,Stainless Steel,API 5L X65,300,72.8,12.85,8.44,34.32,13,Critical,0.7545428740846823,1278,7520,7,Immediate Repair
400,16.12,HDPE,ASTM A106 Grade B,150,84.0,12.61,6.86,42.56,3,Critical,0.10312386883593261,713,8081,5,Monitor
1500,39.33,HDPE,ASTM A333 Grade 6,300,-13.1,6.78,3.13,7.96,19,Moderate,0.9025529066795667,1611,6428,7,Immediate Repair
500,9.54,Stainless Steel,ASTM A106 Grade B,900,48.6,11.26,3.14,32.91,10,Moderate,0.5052523724478571,900,8967,1,Schedule Inspection
100,6.67,Carbon Steel,API 5L X52,150,-13.9,9.73,8.14,122.04,3,Critical,0.8264574661077416,1087,11445,1,Immediate Repair
50,3.0,Stainless Steel,ASTM A333 Grade 6,2500,149.5,9.41,2.44,81.33,5,Moderate,0.32004960103061175,1388,19566,9,Monitor
600,18.9,PVC,API 5L X52,300,117.6,18.88,8.35,44.18,2,Critical,0.8955232284962005,1569,19042,5,Immediate Repair
1000,23.13,Stainless Steel,ASTM A106 Grade B,900,40.3,8.45,3.98,17.21,12,Moderate,0.3892016787341631,1986,14114,5,Monitor
200,11.05,Fiberglass,API 5L X52,900,10.1,4.1,1.81,16.38,25,Normal,0.01083765148029836,1091,16329,3,Monitor
400,12.9,PVC,API 5L X65,1500,19.8,19.47,2.81,21.78,6,Moderate,0.9053819764192637,1833,7159,5,Immediate Repair
250,12.98,Carbon Steel,API 5L X52,900,102.9,1.02,0.88,6.78,19,Normal,0.09128667678613356,1609,10132,3,Monitor
1500,36.13,Stainless Steel,API 5L X52,900,59.5,2.84,6.93,19.18,14,Critical,0.31931363759041487,591,18704,9,Monitor
100,7.8,PVC,ASTM A333 Grade 6,1500,36.0,3.57,4.64,59.49,23,Moderate,0.9500619670508049,1172,7547,9,Immediate Repair
200,6.14,PVC,API 5L X42,900,50.9,16.59,7.1,115.64,3,Critical,0.9506071469375561,1213,7979,6,Immediate Repair
100,4.22,PVC,API 5L X42,1500,3.5,16.13,0.03,0.71,17,Normal,0.5734378881232861,1435,19933,1,Schedule Inspection
1000,26.19,HDPE,API 5L X65,900,26.3,4.38,0.12,0.46,4,Normal,0.6318372121697993,741,15473,7,Schedule Inspection
400,14.97,HDPE,ASTM A333 Grade 6,2500,3.0,13.47,3.14,20.98,23,Moderate,0.44844552197831977,501,7649,7,Schedule Inspection
50,3.63,Stainless Steel,ASTM A106 Grade B,900,35.9,5.29,0.55,15.15,10,Normal,0.29321077169806453,724,13505,4,Monitor
1500,48.32,HDPE,ASTM A333 Grade 6,300,90.1,19.12,6.42,13.29,2,Critical,0.32866454536991596,1300,15805,8,Monitor
100,4.26,Stainless Steel,ASTM A333 Grade 6,150,43.5,9.24,3.41,80.05,6,Moderate,0.6725184560770384,1088,8083,6,Schedule Inspection
1500,21.48,Stainless Steel,API 5L X42,150,106.1,0.13,6.02,28.03,1,Critical,0.75237452943768,615,15448,4,Immediate Repair
400,17.48,Stainless Steel,API 5L X65,150,65.7,16.08,9.18,52.52,5,Critical,0.7915790437258485,1417,19285,4,Immediate Repair
50,3.93,Fiberglass,ASTM A333 Grade 6,1500,60.9,12.73,2.28,58.02,10,Moderate,0.7896181427945539,1626,6037,2,Immediate Repair
100,4.7,Stainless Steel,API 5L X42,300,63.7,6.81,8.83,187.87,6,Critical,0.09120610304869037,693,18944,2,Monitor
800,21.5,PVC,ASTM A106 Grade B,150,28.4,13.34,5.52,25.67,25,Critical,0.49442030470258147,1689,8489,4,Schedule Inspection
600,23.01,Fiberglass,API 5L X42,900,54.1,7.44,0.21,0.91,19,Normal,0.057558760016644284,1370,12604,5,Monitor
1200,24.51,Fiberglass,API 5L X65,1500,138.4,8.83,3.26,13.3,22,Moderate,0.5495288823237355,589,12544,8,Schedule Inspection
50,5.1,PVC,ASTM A106 Grade B,300,5.6,2.42,6.46,126.67,21,Critical,0.441530501373377,621,7634,6,Schedule Inspection
1500,23.53,Carbon Steel,ASTM A106 Grade B,1500,6.1,11.73,1.53,6.5,5,Normal,0.8877041827582998,642,8983,4,Immediate Repair
300,15.67,Fiberglass,ASTM A333 Grade 6,300,43.3,6.51,4.76,30.38,5,Moderate,0.3509150125520787,1493,6778,7,Monitor
200,6.3,Carbon Steel,API 5L X42,300,62.6,3.47,1.55,24.6,19,Normal,0.11706701642760586,605,12902,8,Monitor
1000,22.93,Fiberglass,ASTM A333 Grade 6,900,84.6,7.67,3.92,17.1,23,Moderate,0.14299168205283586,1386,10110,2,Monitor
300,10.67,Fiberglass,API 5L X65,2500,92.3,6.24,6.66,62.42,15,Critical,0.7615106317174722,927,10189,7,Immediate Repair
500,23.22,PVC,API 5L X52,150,45.6,13.08,4.97,21.4,13,Moderate,0.6182180633162611,1828,17087,2,Schedule Inspection
300,12.92,Carbon Steel,ASTM A333 Grade 6,150,136.0,11.02,6.79,52.55,6,Critical,0.10112267612279024,816,12378,2,Monitor
1200,36.1,HDPE,API 5L X65,900,56.8,10.34,8.06,22.33,16,Critical,0.08410680611499743,1134,6124,8,Monitor
200,9.13,Stainless Steel,ASTM A333 Grade 6,2500,93.4,10.66,9.83,107.67,8,Critical,0.70096913145912,508,5697,2,Immediate Repair
500,10.21,Carbon Steel,ASTM A106 Grade B,1500,-17.0,19.81,0.94,9.21,14,Normal,0.07276300636419353,1273,7179,9,Monitor
800,22.07,Fiberglass,API 5L X52,600,21.1,2.71,2.17,9.83,11,Moderate,0.8218600592903562,1596,14596,1,Immediate Repair
500,9.71,Carbon Steel,API 5L X65,900,24.1,10.87,1.93,19.88,25,Normal,0.7062422271564962,1882,10251,9,Immediate Repair
150,5.73,PVC,ASTM A333 Grade 6,600,67.9,2.75,9.36,163.35,17,Critical,0.08134878064189976,722,14235,1,Monitor
400,14.7,Stainless Steel,ASTM A333 Grade 6,2500,70.1,2.84,7.55,51.36,15,Critical,0.08483771408519192,1939,6929,2,Monitor
600,13.23,Stainless Steel,API 5L X42,300,148.2,4.96,7.11,53.74,10,Critical,0.9866395785011755,1052,19871,6,Immediate Repair
300,15.67,HDPE,ASTM A333 Grade 6,150,14.1,2.73,1.0,6.38,21,Normal,0.3742707957561203,1893,6013,6,Monitor
200,9.5,Fiberglass,API 5L X52,600,29.6,19.1,9.01,94.84,16,Critical,0.3706421470668909,1215,5226,1,Monitor
100,4.65,Carbon Steel,ASTM A106 Grade B,1500,48.8,9.19,1.59,34.19,5,Normal,0.8127995672575026,1787,12321,7,Immediate Repair
1200,34.92,HDPE,ASTM A333 Grade 6,300,79.3,3.55,6.92,19.82,12,Critical,0.9472485773838587,1841,6828,8,Immediate Repair
600,21.33,HDPE,ASTM A333 Grade 6,300,100.1,6.63,7.16,33.57,15,Critical,0.9860010638228709,1607,12909,2,Immediate Repair
500,17.85,Fiberglass,API 5L X42,150,20.7,6.86,8.76,49.08,10,Critical,0.7533781852589416,1841,10588,8,Immediate Repair
1200,22.83,PVC,ASTM A106 Grade B,900,42.1,7.33,4.45,19.49,10,Moderate,0.37625958553091576,610,18109,9,Monitor
800,18.33,Stainless Steel,API 5L X42,1500,104.9,5.68,3.2,17.46,10,Moderate,0.08350071669866876,750,7023,6,Monitor
600,12.39,PVC,API 5L X65,1500,56.0,19.13,7.83,63.2,22,Critical,0.7771469159274368,882,9966,5,Immediate Repair
300,12.86,Fiberglass,ASTM A333 Grade 6,900,88.9,11.84,5.2,40.44,18,Critical,0.558404249735805,506,15644,9,Schedule Inspection
1200,24.24,PVC,ASTM A106 Grade B,900,-34.4,5.08,8.54,35.23,25,Critical,0.4242220092469763,958,19537,9,Schedule Inspection
150,7.91,PVC,ASTM A106 Grade B,600,20.8,2.12,1.17,14.79,12,Normal,0.906354385094736,1607,15277,1,Immediate Repair
200,8.98,Fiberglass,API 5L X65,900,-38.6,14.53,9.22,102.67,18,Critical,0.11119748230615134,707,10891,3,Monitor
1200,38.03,Fiberglass,API 5L X52,900,-44.2,4.74,5.56,14.62,11,Critical,0.49262510429085915,1399,17475,9,Schedule Inspection
1000,26.98,PVC,ASTM A106 Grade B,150,43.9,12.77,9.99,37.03,16,Critical,0.011353644767419069,1913,6080,2,Monitor
150,9.73,Stainless Steel,ASTM A106 Grade B,600,56.0,8.07,3.18,32.68,2,Moderate,0.46866064199412627,1837,10036,4,Schedule Inspection
500,22.49,Stainless Steel,API 5L X65,1500,58.1,3.1,6.62,29.44,1,Critical,0.05630327568183735,521,15512,4,Monitor
300,7.2,Carbon Steel,API 5L X42,300,48.5,17.27,8.07,112.08,20,Critical,0.11881791626807192,909,16382,2,Monitor
500,9.94,PVC,API 5L X65,150,28.1,12.68,1.32,13.28,13,Normal,0.11752624677710488,1394,15822,3,Monitor
150,6.69,Carbon Steel,ASTM A106 Grade B,300,66.2,2.1,9.6,143.5,6,Critical,0.6492103021160636,1014,7563,3,Schedule Inspection
200,6.76,Fiberglass,API 5L X65,300,51.1,15.15,9.35,138.31,8,Critical,0.7460448792654233,1650,8292,1,Immediate Repair
200,6.26,PVC,API 5L X52,2500,74.8,12.94,8.02,128.12,24,Critical,0.5833687650971596,1308,17813,6,Schedule Inspection
800,14.7,HDPE,API 5L X52,1500,43.9,1.44,4.07,27.69,16,Moderate,0.9621725484745419,1373,8586,8,Immediate Repair
600,11.17,HDPE,ASTM A333 Grade 6,1500,115.7,17.93,0.81,7.25,15,Normal,0.37487057952370406,513,9431,3,Monitor
600,14.15,PVC,API 5L X42,150,86.4,9.07,4.49,31.73,18,Moderate,0.28571208628186073,1470,11841,5,Monitor
800,17.15,HDPE,API 5L X65,150,93.4,0.54,2.54,14.81,7,Moderate,0.8685991281894603,1477,18366,1,Immediate Repair
50,3.0,Carbon Steel,ASTM A333 Grade 6,150,30.9,9.2,4.13,137.67,17,Moderate,0.22359583851945264,1513,11643,7,Monitor
500,21.53,HDPE,ASTM A106 Grade B,300,47.7,16.95,3.11,14.44,13,Moderate,0.9632225394406113,1535,16139,1,Immediate Repair
1500,34.19,Fiberglass,API 5L X65,1500,81.2,10.4,7.15,20.91,1,Critical,0.012154474689816341,586,8959,9,Monitor
50,5.93,Fiberglass,ASTM A106 Grade B,2500,75.1,19.39,7.2,121.42,15,Critical,0.969878826707639,1408,16005,8,Immediate Repair
1200,33.06,Carbon Steel,ASTM A106 Grade B,900,-9.6,11.89,8.15,24.65,18,Critical,0.04315991195057611,1824,15775,7,Monitor
100,6.31,Carbon Steel,API 5L X65,900,30.5,10.66,5.74,90.97,12,Critical,0.8911431136980711,1766,5161,7,Immediate Repair
100,4.72,Stainless Steel,ASTM A106 Grade B,300,55.8,8.56,0.97,20.55,16,Normal,0.5277011090862999,621,5593,5,Schedule Inspection
600,22.4,Stainless Steel,API 5L X65,1500,44.1,1.5,8.01,35.76,12,Critical,0.9929647961193003,1670,19226,5,Immediate Repair
300,17.34,Stainless Steel,ASTM A333 Grade 6,1500,46.2,14.96,4.81,27.74,6,Moderate,0.07379656473539886,1249,19494,5,Monitor
400,12.29,PVC,API 5L X42,300,-9.6,16.0,3.22,26.2,8,Moderate,0.5538542844013208,1879,16451,1,Schedule Inspection
1500,29.22,Stainless Steel,ASTM A106 Grade B,2500,-10.7,8.17,6.72,23.0,22,Critical,0.969302535619099,1184,17347,8,Immediate Repair
100,5.99,Carbon Steel,API 5L X52,900,-6.7,8.83,3.77,62.94,14,Moderate,0.5230978441701488,808,16154,1,Schedule Inspection
50,3.0,Fiberglass,API 5L X52,900,22.8,13.87,0.47,15.67,18,Normal,0.6293986381352625,1194,17080,4,Schedule Inspection
1500,38.34,Carbon Steel,ASTM A333 Grade 6,2500,22.3,14.44,5.57,14.53,21,Critical,0.6957486889846172,787,8390,9,Schedule Inspection
100,7.37,PVC,ASTM A106 Grade B,300,56.5,14.31,2.35,31.89,2,Moderate,0.45454106476777323,806,10997,9,Schedule Inspection
800,27.17,HDPE,ASTM A333 Grade 6,2500,27.0,16.1,9.31,34.27,16,Critical,0.6275580800840634,1413,11354,5,Schedule Inspection
800,12.37,HDPE,API 5L X65,900,-11.7,16.5,7.51,60.71,23,Critical,0.5843143119231002,1161,17693,4,Schedule Inspection
100,5.58,Fiberglass,API 5L X42,300,43.4,12.52,4.45,79.75,21,Moderate,0.901158010490989,1048,5663,3,Immediate Repair
100,6.08,Carbon Steel,API 5L X42,150,86.7,10.71,2.81,46.22,21,Moderate,0.04544638034145787,1875,14324,3,Monitor
1200,23.76,Fiberglass,API 5L X42,300,-29.9,1.38,6.01,25.29,16,Critical,0.2809631895922303,811,18387,5,Monitor
300,9.39,Fiberglass,API 5L X52,150,41.2,11.27,4.09,43.56,20,Moderate,0.9504114840765587,1372,5541,1,Immediate Repair
300,10.42,Fiberglass,ASTM A333 Grade 6,600,32.5,19.33,4.64,44.53,3,Moderate,0.8902637838909163,1582,10433,5,Immediate Repair
800,29.29,HDPE,API 5L X42,150,76.1,10.21,7.0,23.9,3,Critical,0.45565675278571294,1423,10093,6,Schedule Inspection
1500,32.91,Carbon Steel,API 5L X65,150,112.7,9.62,6.03,18.32,17,Critical,0.6201325978015367,1254,18428,7,Schedule Inspection
200,11.11,Carbon Steel,ASTM A106 Grade B,150,6.1,14.49,3.41,30.69,23,Moderate,0.2773811829811327,534,16166,9,Monitor
300,13.83,Carbon Steel,API 5L X42,300,76.0,11.2,2.95,21.33,3,Moderate,0.1881211597237613,944,5867,3,Monitor
1000,29.05,PVC,ASTM A106 Grade B,1500,29.6,7.47,9.63,33.15,14,Critical,0.46369840493998216,592,15258,2,Schedule Inspection
1500,47.89,HDPE,ASTM A106 Grade B,2500,56.1,0.82,9.49,19.82,7,Critical,0.3533522280260528,1730,13623,3,Monitor
50,5.33,Fiberglass,API 5L X42,900,95.9,13.51,3.77,70.73,13,Moderate,0.5836561118508721,852,18027,9,Schedule Inspection
1000,33.31,Carbon Steel,API 5L X52,300,105.7,3.86,8.29,24.89,20,Critical,0.07773463696498484,1402,10469,7,Monitor
400,18.41,Carbon Steel,ASTM A106 Grade B,2500,25.7,5.31,2.71,14.72,16,Moderate,0.9743948076661665,1855,17470,9,Immediate Repair
150,5.98,Stainless Steel,API 5L X52,2500,-20.8,6.05,6.14,102.68,20,Critical,0.9862107444796029,1361,11256,2,Immediate Repair
800,29.96,Fiberglass,ASTM A106 Grade B,2500,29.0,1.98,2.13,7.11,15,Moderate,0.6981617140197451,658,14398,5,Schedule Inspection
300,8.74,HDPE,ASTM A106 Grade B,1500,43.5,15.97,8.42,96.34,25,Critical,0.5360963663441204,1456,15720,4,Schedule Inspection
150,5.21,Stainless Steel,API 5L X65,150,91.9,5.83,1.33,25.53,24,Normal,0.30952761628632774,523,6169,2,Monitor
600,21.1,Carbon Steel,API 5L X52,1500,12.8,3.44,9.87,46.78,15,Critical,0.8137950197069487,903,5830,9,Immediate Repair
1000,32.07,Stainless Steel,API 5L X52,150,100.7,0.3,4.46,13.91,22,Moderate,0.6847311725538793,1304,6651,9,Schedule Inspection
100,5.72,Stainless Steel,ASTM A106 Grade B,150,-6.9,9.07,5.8,101.4,17,Critical,0.1626169393448913,1015,6136,6,Monitor
250,13.01,HDPE,API 5L X65,600,16.8,18.32,4.03,30.98,5,Moderate,0.9109271844938425,1231,7810,6,Immediate Repair
500,21.57,Stainless Steel,ASTM A333 Grade 6,2500,-24.6,4.97,7.54,34.96,14,Critical,0.822537242923169,1887,13667,8,Immediate Repair
200,10.76,Fiberglass,API 5L X42,1500,4.1,14.69,4.04,37.55,24,Moderate,0.949799913291924,1905,16002,6,Immediate Repair
400,18.8,PVC,ASTM A106 Grade B,900,28.7,3.18,3.37,17.93,4,Moderate,0.72571950838836,1031,14518,1,Immediate Repair
600,24.05,PVC,ASTM A106 Grade B,2500,76.4,10.18,2.64,10.98,21,Moderate,0.6134151959357899,1455,18258,4,Schedule Inspection
500,17.53,PVC,ASTM A106 Grade B,600,61.3,11.49,3.24,18.48,18,Moderate,0.4182430362906189,651,6019,7,Schedule Inspection
300,7.53,HDPE,ASTM A106 Grade B,900,0.5,2.82,1.99,26.43,7,Normal,0.9327284833540133,1446,10237,2,Immediate Repair
600,26.89,HDPE,API 5L X52,600,34.5,19.09,3.55,13.2,5,Moderate,0.8660638895004084,1107,15028,9,Immediate Repair
250,11.74,Stainless Steel,API 5L X65,1500,53.8,7.49,8.13,69.25,19,Critical,0.04521867010618941,919,17448,8,Monitor
800,14.26,PVC,ASTM A106 Grade B,300,-29.3,11.27,9.19,64.45,22,Critical,0.026366974497252005,1773,15640,8,Monitor
400,18.46,HDPE,ASTM A106 Grade B,300,53.1,15.98,3.56,19.28,18,Moderate,0.3764633668780496,1640,17485,7,Monitor
1200,33.73,PVC,API 5L X65,150,45.3,10.81,7.41,21.97,20,Critical,0.8105533307818329,1365,6283,4,Immediate Repair
250,8.54,Fiberglass,API 5L X65,300,41.0,12.97,5.54,64.87,4,Critical,0.9872761293149445,1077,5659,2,Immediate Repair
800,20.75,HDPE,ASTM A106 Grade B,150,-0.9,6.09,9.77,47.08,24,Critical,0.15041689110352818,834,19063,3,Monitor
1000,15.56,Stainless Steel,ASTM A333 Grade 6,300,74.8,3.19,4.24,27.25,20,Moderate,0.5941307153521351,1941,18358,6,Schedule Inspection
50,4.69,HDPE,API 5L X42,150,13.4,0.67,2.43,51.81,18,Moderate,0.3808908566310215,1431,7010,5,Monitor
150,7.97,Fiberglass,API 5L X42,150,81.8,5.16,9.05,113.55,20,Critical,0.9699143978146032,794,13590,8,Immediate Repair
200,8.62,PVC,ASTM A106 Grade B,2500,50.6,10.45,5.2,60.32,17,Critical,0.8421189231357087,1254,6733,6,Immediate Repair
100,4.13,Stainless Steel,API 5L X65,1500,34.0,13.27,4.98,120.58,21,Moderate,0.8383287047111379,1894,18870,6,Immediate Repair
1000,21.65,PVC,API 5L X42,600,45.9,14.74,0.8,3.7,23,Normal,0.4686931597949703,685,7125,1,Schedule Inspection
1000,21.54,Stainless Steel,API 5L X65,600,33.3,1.88,2.09,9.7,6,Moderate,0.4148195023376652,1769,7171,4,Schedule Inspection
250,9.52,HDPE,ASTM A333 Grade 6,600,83.7,19.54,9.39,98.63,13,Critical,0.27340707193070624,1136,13266,5,Monitor
250,8.56,Stainless Steel,ASTM A333 Grade 6,600,-2.6,8.07,8.43,98.48,7,Critical,0.056375496650927115,1791,19472,3,Monitor
200,8.86,HDPE,ASTM A106 Grade B,300,-40.4,9.44,7.99,90.18,3,Critical,0.8647223762550532,1760,17889,9,Immediate Repair
100,7.89,Stainless Steel,ASTM A106 Grade B,600,-32.2,19.92,3.05,38.66,11,Moderate,0.8129010091300776,1029,8471,1,Immediate Repair
100,5.25,Carbon Steel,API 5L X52,600,-19.8,17.61,9.96,189.71,19,Critical,0.9997176732861306,520,14028,6,Immediate Repair
100,7.07,Carbon Steel,API 5L X42,150,27.4,1.45,7.91,111.88,4,Critical,0.9966368370739054,1410,10624,6,Immediate Repair
200,11.23,Carbon Steel,API 5L X52,1500,33.4,19.23,8.55,76.14,22,Critical,0.5554317056026274,1366,13691,5,Schedule Inspection
250,14.41,HDPE,API 5L X52,2500,-0.2,2.77,5.32,36.92,24,Critical,0.7689874151805105,1293,18884,5,Immediate Repair
1000,27.26,HDPE,ASTM A106 Grade B,600,54.0,7.23,2.15,7.89,5,Moderate,0.944765729882428,599,13329,5,Immediate Repair
600,13.68,Carbon Steel,ASTM A333 Grade 6,300,84.8,2.05,7.14,52.19,6,Critical,0.8496473906774115,1251,7097,6,Immediate Repair
1500,47.8,Stainless Steel,ASTM A333 Grade 6,300,10.1,15.3,9.43,19.73,6,Critical,0.24734810174319766,977,19082,8,Monitor
800,29.51,HDPE,ASTM A333 Grade 6,300,128.8,3.09,9.75,33.04,1,Critical,0.4505441353100935,1821,10068,2,Schedule Inspection
150,7.48,Stainless Steel,API 5L X65,900,80.5,8.07,0.18,2.41,11,Normal,0.12915941515149498,1439,18930,6,Monitor
600,26.47,HDPE,ASTM A333 Grade 6,2500,36.2,7.17,8.48,32.04,18,Critical,0.9540510272587224,1025,16888,1,Immediate Repair
300,13.68,Carbon Steel,API 5L X65,900,12.3,17.18,4.66,34.06,21,Moderate,0.60617463445088,833,15077,4,Schedule Inspection
300,9.59,Carbon Steel,ASTM A106 Grade B,1500,73.0,13.07,0.19,1.98,7,Normal,0.22864280550346272,501,11397,3,Monitor
100,4.28,Stainless Steel,ASTM A333 Grade 6,900,83.1,5.11,7.92,185.05,1,Critical,0.6717006844058567,874,19316,9,Schedule Inspection
800,21.96,Fiberglass,API 5L X42,600,19.0,10.82,0.43,1.96,12,Normal,0.6181282404578958,792,7757,3,Schedule Inspection
500,10.21,Carbon Steel,ASTM A333 Grade 6,300,68.3,16.88,9.25,90.6,19,Critical,0.3581627180328405,1336,8920,6,Monitor
500,19.32,HDPE,API 5L X65,900,90.4,18.76,4.4,22.77,4,Moderate,0.11355759219962902,1504,13186,1,Monitor
250,13.65,Fiberglass,API 5L X65,150,37.4,6.56,3.7,27.11,18,Moderate,0.6715731955927996,1052,6900,6,Schedule Inspection
200,10.98,HDPE,ASTM A333 Grade 6,600,20.6,9.9,6.62,60.29,6,Critical,0.5203077009037933,817,7610,4,Schedule Inspection
800,31.24,Fiberglass,ASTM A106 Grade B,300,108.5,3.05,9.35,29.93,13,Critical,0.7723183917356393,880,11900,8,Immediate Repair
500,20.02,Stainless Steel,API 5L X65,900,17.1,9.57,1.08,5.39,7,Normal,0.5201635011119934,513,17178,9,Schedule Inspection
500,11.35,Stainless Steel,API 5L X65,600,57.8,18.93,2.5,22.03,17,Moderate,0.8521815003185401,1003,6449,4,Immediate Repair
600,29.1,Fiberglass,API 5L X65,1500,3.4,19.05,8.2,28.18,7,Critical,0.5519068387744855,730,13738,6,Schedule Inspection
600,17.64,Carbon Steel,ASTM A333 Grade 6,150,44.9,0.62,5.22,29.59,10,Critical,0.5609379715353863,1607,10017,1,Schedule Inspection
150,8.75,Fiberglass,ASTM A333 Grade 6,900,3.7,16.84,3.84,43.89,17,Moderate,0.876653602658345,629,17868,4,Immediate Repair
400,11.43,Fiberglass,ASTM A106 Grade B,1500,77.6,16.88,0.56,4.9,10,Normal,0.40348286621239704,1337,18660,7,Schedule Inspection
500,15.27,HDPE,ASTM A106 Grade B,150,43.7,19.41,8.01,52.46,25,Critical,0.13401522845064073,1668,12999,1,Monitor
100,5.45,Stainless Steel,ASTM A106 Grade B,600,12.4,14.13,8.86,162.57,11,Critical,0.028782676313338973,1390,11052,8,Monitor
100,5.78,Carbon Steel,API 5L X65,900,49.4,13.28,0.07,1.21,14,Normal,0.755137255673619,527,15195,6,Immediate Repair
150,7.52,Stainless Steel,API 5L X65,600,3.9,6.91,3.12,41.49,16,Moderate,0.6203095513534647,565,7096,5,Schedule Inspection
50,4.73,HDPE,ASTM A106 Grade B,150,-26.1,6.97,1.24,26.22,11,Normal,0.7040797680992236,1686,13895,9,Immediate Repair
150,9.06,PVC,API 5L X52,300,41.6,8.06,5.92,65.34,23,Critical,0.21296416150891073,1752,11404,2,Monitor
250,11.12,PVC,API 5L X52,150,50.1,10.85,0.34,3.06,21,Normal,0.13637147558676976,760,15595,5,Monitor
200,7.76,PVC,ASTM A106 Grade B,600,73.9,6.25,0.82,10.57,10,Normal,0.014544665667881929,1972,14817,6,Monitor
1000,28.91,Fiberglass,API 5L X52,600,69.6,16.07,6.87,23.76,22,Critical,0.350587558806597,1947,8331,7,Monitor
200,11.71,Stainless Steel,ASTM A106 Grade B,300,104.8,0.59,8.29,70.79,21,Critical,0.5899176868546331,959,17925,5,Schedule Inspection
150,9.62,Fiberglass,ASTM A106 Grade B,150,126.0,8.47,3.19,33.16,10,Moderate,0.3922440450997323,800,12462,9,Monitor
150,5.71,HDPE,ASTM A333 Grade 6,600,50.1,2.81,5.52,96.67,16,Critical,0.43747492202372906,1418,10105,1,Schedule Inspection
250,8.98,HDPE,API 5L X42,2500,3.0,15.03,2.72,30.29,25,Moderate,0.9041586944937484,1826,7978,7,Immediate Repair
200,9.26,HDPE,ASTM A333 Grade 6,300,95.9,15.17,0.39,4.21,11,Normal,0.34825546702330035,786,17928,7,Monitor
50,4.88,Carbon Steel,API 5L X42,600,23.9,12.19,1.94,39.75,2,Normal,0.5139894891598108,1918,7839,4,Schedule Inspection
800,26.68,Stainless Steel,ASTM A106 Grade B,150,77.3,1.72,1.7,6.37,2,Normal,0.7836530127411431,1533,8384,9,Immediate Repair
800,28.91,HDPE,API 5L X52,2500,113.9,7.13,6.97,24.11,11,Critical,0.39654278232127016,1129,15851,5,Monitor
1200,19.06,Carbon Steel,ASTM A333 Grade 6,600,10.0,18.3,0.64,3.36,24,Normal,0.6220867002278735,769,15053,4,Schedule Inspection
600,17.16,HDPE,API 5L X52,150,47.0,4.92,7.12,41.49,2,Critical,0.8623637087467452,1091,16048,7,Immediate Repair
150,5.41,Fiberglass,ASTM A333 Grade 6,1500,44.1,9.25,8.4,155.27,8,Critical,0.9495206236576421,1343,18493,4,Immediate Repair
300,17.74,HDPE,API 5L X42,2500,28.4,1.77,0.85,4.79,15,Normal,0.14707348092903794,1361,5685,3,Monitor
1200,35.19,HDPE,ASTM A333 Grade 6,600,45.8,7.81,3.15,8.95,22,Moderate,0.9265876251614944,1884,19139,9,Immediate Repair
300,13.22,Carbon Steel,API 5L X65,300,-25.0,17.49,1.06,8.02,12,Normal,0.4921162930795382,1780,12531,8,Schedule Inspection
1500,42.02,PVC,API 5L X52,900,21.2,9.66,7.87,18.73,10,Critical,0.25824438829895835,632,9283,1,Monitor
250,12.72,HDPE,ASTM A333 Grade 6,150,49.0,8.12,2.68,21.07,13,Moderate,0.4591357562382613,1799,12736,7,Schedule Inspection
500,21.07,HDPE,ASTM A333 Grade 6,600,83.4,9.54,1.16,5.51,1,Normal,0.980032575285477,1471,12710,9,Immediate Repair
100,4.52,Stainless Steel,API 5L X42,300,-25.5,0.61,7.73,171.02,21,Critical,0.4926180939928696,1012,6619,8,Schedule Inspection
600,12.67,Carbon Steel,API 5L X52,600,60.0,0.91,8.3,65.51,20,Critical,0.3287516102875082,812,18975,8,Monitor
400,15.28,Carbon Steel,API 5L X52,600,13.1,4.66,0.1,0.65,22,Normal,0.6334008543167258,1075,18272,6,Schedule Inspection
